name,city,latitude,longitude,websites
Taco Bell,Huntsville,34.76119,-86.59108,"https://locations.tacobell.com/al/huntsville/2885-memorial-pkwy-.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029155andutm_content=website,http://www.tacobell.com/,http://www.tacobell.com"
Subway,Huntsville,34.713165,-86.65868,http://www.subway.com
Subway,Huntsville,34.74619,-86.67575,http://www.subway.com
Chick-Fil-A,Phenix City,32.42211,-85.03987,http://www.chick-fil-a.com
McDonald's,Phenix City,32.49808,-85.04433,http://www.mcdonalds.com
Jerry's Subs and Pizza,Columbus,32.44588,-84.92876,http://www.jerrysusa.com
Wendy's,Columbus,32.46804,-84.96781,https://locations.wendys.com/united-states/ga/columbus/1707-wynnton-road
Ak Buffet,Fairbanks,64.8466,-147.7005,"http://www.akbuffet.net/,http://www.akbuffetfairbanks.com"
Jimmy John's,Birmingham,33.505974,-86.89299,http://www.jimmyjohns.com
Jimmy John's,Birmingham,33.51169,-86.78845,http://www.jimmyjohns.com
Hardee's,Birmingham,33.41926,-86.80079,https://www.hardees.com/?utm_source=Yextandutm_medium=Visit%20Websiteandutm_campaign=Homepage
Which Wich,Birmingham,33.45069,-86.72996,http://www.whichwich.com
Church's Chicken,Alabaster,33.23687,-86.81286,http://www.churchs.com
Pizza Hut,Alabaster,33.25046,-86.81478,"https://locations.pizzahut.com/al/alabaster/634-1st-st-ne,https://www.pizzahut.com/,http://www.pizzahut.com/,https://www.pizzahut.com"
Burger King,Calera,33.14812,-86.74937,"https://locations.bk.com/al/calera/5076-hwy-31.html,http://www.bk.com/,http://www.bk.com"
Taco Bell,Guntersville,34.34134,-86.30938,"https://locations.tacobell.com/al/guntersville/1740-gunter-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=027321andutm_content=website,https://locations.tacobell.com/al/florence/1412-n-wood-ave.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=030274&utm_content=website"
Subway,Decatur,34.58542,-86.98081,http://www.subway.com
Chick-fil-A,Decatur,34.57165,-87.01462,"https://chick-fil-a.com/beltlineroad,http://www.chick-fil-a.com/,http://www.chick-fil-a.com/beltlineroad,http://www.chick-fil-a.com"
Firehouse Subs,Decatur,34.55496,-86.99725,"http://www.firehousesubs.com,http://www.firehousesubs.com/,https://www.firehousesubs.com/locations/al/decatur"
Jack's Family Restaurants,Decatur,34.62039,-87.05281,http://www.eatatjacks.com
Krystal,Decatur,34.57586,-86.97611,https://locations.krystal.com/al/decatur/1817-sixth-ave-se
Jack's,Decatur,34.56185,-87.00769,"http://www.eatatjacks.com/,http://www.eatatjacks.com,http://t.co/b2Y2J74Dyp"
Dairy Queen Grill Chill,Decatur,34.56784,-87.01125,https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1andstore-id=12150
Subway,Enterprise,31.33653,-85.85576,http://www.subway.com
Wok N Roll,Florence,34.81771,-87.68111,http://woknroll.net
Hardee's,Dothan,31.18926,-85.40099,https://www.hardees.com/?utm_source=Yextandutm_medium=Visit%20Websiteandutm_campaign=Homepage
Burger King,Dothan,31.21224,-85.36109,https://locations.bk.com/al/dothan/1165-ross-clark-circle.html
Sonic Drive-In,Dothan,31.21805,-85.35983,https://locations.sonicdrivein.com/al/dothan/1067-ross-clark-circle-south.html
Moe's Southwest Grill,Tuscaloosa,33.21097,-87.55278,"https://www.moes.com,http://www.moes.com/,https://www.moes.com/,http://www.moes.com"
Burger King,Tuscaloosa,33.17378,-87.52549,"https://locations.bk.com/al/tuscaloosa/3808-mcfarland-blvd.html,http://www.bk.com/"
Moe's Southwest Grill,Tuscaloosa,33.18941,-87.52625,"https://www.moes.com,https://www.moes.com/,http://www.moes.com"
Sonic Drive-In,Auburn,32.57246,-85.49903,https://locations.sonicdrivein.com/al/auburn/1703-south-college-street.html
Firehouse Subs,Athens,34.7881,-86.96264,http://www.firehousesubs.com
Subway,Athens,34.80086,-86.9526,http://www.subway.com
Domino's Pizza,Oxford,33.61477,-85.80492,"https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage&utm_source=locallistings&utm_medium=loclist&utm_campaign=localmaps"
Jack's,Oxford,33.61567,-85.82607,"http://www.eatatjacks.com/,http://www.eatatjacks.com"
Jimmy John's,Cullman,34.17945,-86.84606,http://www.jimmyjohns.com
Jack's,Cullman,34.15977,-86.84812,http://www.eatatjacks.com
Subway,Cullman,34.15758,-86.83748,http://www.subway.com
Panda Express,Cullman,34.20643,-86.86648,"http://www.pandaexpress.com,http://www.pandaexpress.com/"
Subway,Cullman,34.19863,-86.80401,"http://www.subway.com,http://subway.com/,http://www.subway.com/"
Rally's,Cullman,34.18417,-86.84848,"https://locations.rallys.com/al/cullman/724-second-avenue-nw,http://www.rallyshamburgers.com"
Sonic Drive-In,Cullman,34.15759,-86.83473,https://locations.sonicdrivein.com/al/cullman/1713-second-avenue-southwest.html
Captain D's Seafood Kitchen,Birmingham,33.610855,-86.687775,http://www.captainds.com
McDonald's,Pinson,33.69535,-86.68257,http://www.mcdonalds.com
Auntie Anne's Soft Pretzels,Leeds,33.54722,-86.59819,http://www.auntieannes.com
Sonic Drive-In,Birmingham,33.60603,-86.68913,"http://sonicdrivein.com/,http://www.sonicdrivein.com"
Subway,Birmingham,33.5328,-86.6857,"http://www.subway.com,http://www.subway.com/"
Rally's,Birmingham,33.56268,-86.72863,"https://locations.rallys.com/al/birmingham/7736-first-ave-north,http://www.rallyshamburgers.com/,http://www.rallyshamburgers.com,http://rallys.com/"
Moe's Southwest Grill,Birmingham,33.50771,-86.80475,"https://www.moes.com,https://www.moes.com/,http://www.moes.com"
Moe's Southwest Grill,Birmingham,33.48011,-86.77455,"http://moes.com,http://www.moes.com"
Chipotle Mexican Grill,Birmingham,33.439,-86.78873,https://locations.chipotle.com/al/vestavia-hills/1031-montgomery-hwy?utm_source=extendednetworkandutm_medium=yextandutm_campaign=yext_listings
Full Moon Bar-B-Que,Fultondale,33.60767,-86.80459,"http://www.fullmoonbbq.com/,http://fullmoonbbq.com/,http://www.fullmoonbbq.com"
Church's Chicken,Birmingham,33.47015,-86.88269,"http://www.churchs.com,http://www.churchs.com/,http://churchs.com/"
Church's Chicken,Birmingham,33.505974,-86.89299,"http://www.churchs.com,http://www.churchs.com/"
Milo's Hamburgers,Birmingham,33.51331,-86.89783,http://www.miloshamburgers.com
McDonald's,Birmingham,33.505974,-86.89299,"http://www.mcdonalds.com/,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/AL/ENSLEY/3520-AVE-E/449.html?cid=RF:YXT:RoN::Clicks"
Subway,Mc Calla,33.32988,-87.00037,http://www.subway.com
Hardee's,Birmingham,33.45292,-86.92278,https://www.hardees.com/?utm_source=Yextandutm_medium=Visit%20Websiteandutm_campaign=Homepage
Pizza Hut,Birmingham,33.4648,-86.81963,"https://www.pizzahut.com/,https://locations.pizzahut.com/al/birmingham/437-green-springs-hwy"
Pizza Hut,Bessemer,33.39403,-86.97014,"http://pizzahut.com/locations/alabama/bessemer/006521,https://www.pizzahut.com/,https://www.pizzahut.com,https://locations.pizzahut.com/al/bessemer/829-8th-street-n"
Guthrie's,Birmingham,33.53439,-86.70704,"http://guthrieschicken.com/,http://guthrieschicken.com"
Jimmy John's,Birmingham,33.51717,-86.80715,"http://www.jimmyjohns.com/,http://www.jimmyjohns.com"
Moe's Southwest Grill,Daphne,30.59977,-87.89833,"https://www.moes.com,https://www.moes.com/,http://www.moes.com"
Firehouse Subs,Daphne,30.65503,-87.90273,"http://www.firehousesubs.com,http://firehousesubs.com"
Subway,Attalla,33.99707,-86.09424,"http://www.subway.com,http://www.subway.com/"
Jack's Family Restaurants,Gadsden,33.99989,-85.94225,http://www.eatatjacks.com
Jack's,Gadsden,33.98514,-86.00436,http://www.eatatjacks.com
Jack's Family Restaurants,Gadsden,34.02239,-86.04354,http://www.eatatjacks.com
Subway,Gadsden,33.91784,-86.02192,"http://www.subway.com,http://subway.com"
Jack's,Gadsden,34.00841,-85.99391,"http://www.eatatjacks.com,http://eatatjacks.com"
Pizza Hut,Jacksonville,33.80691,-85.76127,"http://www.pizzahut.com,https://www.pizzahut.com/,http://www.pizzahut.com/"
Chick-fil-A,Auburn,32.60692,-85.48642,https://chick-fil-a.com/magnoliaavenue
Cook-Out,Huntsville,34.76369,-86.59461,"http://www.cookout.com,http://www.cookout.com/"
Jack's,Huntsville,34.73679,-86.62714,"http://www.eatatjacks.com/,http://www.eatatjacks.com"
Terrys Pizza,Huntsville,34.66134,-86.54042,https://www.facebook.com/terryspizza
Rolands Cajun Catering,Huntsville,34.74754,-86.59498,"http://www.neworleanslunchbox.com/,http://neworleanslunchbox.com,http://neworleanslunchbox.com/"
McAlister's Deli,Huntsville,34.69281,-86.5696,http://www.mcalistersdeli.com
Jason's Deli,Huntsville,34.743492,-86.67781,"http://jasonsdeli.com,http://www.jasonsdeli.com"
Jimmy John's,Huntsville,34.67589,-86.5415,"http://www.jimmyjohns.com/,http://www.jimmyjohns.com"
McAlister's Deli,Huntsville,34.74458,-86.67318,"https://www.mcalistersdeli.com/,http://www.mcalistersdeli.com,https://www.mcalistersdeli.com,http://www.mcalistersdeli.com/"
Quiznos,Huntsville,34.73549,-86.63676,"http://restaurants.quiznos.com/al/huntsville/huntsville-35816,http://www.quiznos.com"
Jack's Family Restaurants,Huntsville,34.66429,-86.75312,http://www.eatatjacks.com
Dairy Queen,Huntsville,34.69772,-86.60791,"http://www.dairyqueen.com,http://www.dairyqueen.com/"
Hardee's,Huntsville,34.73907,-86.57662,"http://www.hardees.com,https://www.hardees.com/?utm_source=Yextandutm_medium=Visit%20Websiteandutm_campaign=Homepage,http://www.hardees.com/"
Checkers,Huntsville,34.72041,-86.59055,"https://locations.checkers.com/al/huntsville/700-governors-drive,http://www.checkers.com,https://www.checkers.com"
Sonic Drive-In,Huntsville,34.71197,-86.61021,"https://locations.sonicdrivein.com/al/huntsville/3222-bob-wallace-ave-.html,http://www.sonicdrivein.com/,http://sonicdrivein.com/"
Subway,Dayton,39.7019,-84.1234,http://subway.com
Pizza Hut,Indianapolis,39.8265,-86.0105,"http://www.pizzahut.com,https://locations.pizzahut.com/in/indianapolis/8932-e-38th-st"
McDonald's,Montgomery,32.32548,-86.32813,https://www.mcdonalds.com/us/en-us/location/AL/MONTGOMERY/935-W-SOUTHERN-BLVD/3036.html?cid=RF:YXT:RoN::Clicks
Panera Bread,Montgomery,32.36049,-86.1653,"http://www.locations.panerabread.com/,http://www.panerabread.com,https://locations.panerabread.com/al/montgomery/7224-eastchase-parkway.html?utm_medium=display-adandutm_source=paid-digitalandutm_campaign=yextandutm_content=local-search,http://www.panerabread.com/"
Mellow Mushroom,Mobile,30.68957,-88.17268,"http://www.mellowmushroom.com/,http://www.mellowmushroom.com"
Moe's Southwest Grill,Mobile,30.68177,-88.22597,"https://www.moes.com,http://www.moes.com/find-a-moes/alabama/mobile/267/,https://www.moes.com/,http://www.moes.com"
McDonald's,Mobile,30.6487,-88.15908,https://www.mcdonalds.com/us/en-us/location/AL/MOBILE/5019-COTTAGE-HILL-RD/10532.html?cid=RF:YXT:RoN::Clicks
Sonic Drive-In,Mobile,30.63964,-88.13914,https://locations.sonicdrivein.com/al/mobile/3944-government-road.html
Burger King,Mobile,30.59223,-88.17015,https://locations.bk.com/al/mobile/5380-highway-90-dr-west.html
Sonic Drive-In,Mobile,30.67092,-88.13297,https://locations.sonicdrivein.com/al/mobile/951-montlimar-drive.html
Fat Wong Chinese Food To Go,Modesto,37.6386,-120.9367,http://www.fatwongchinesefood.com/
Arby's,Birmingham,33.42977,-86.70878,"http://www.arbys.com/,https://locations.arbys.com/us/al/birmingham/4615-hwy-280-s.html"
Chick-fil-A,Birmingham,33.42794,-86.70769,"https://chick-fil-a.com/inverness,http://www.chick-fil-a.com/"
Chipotle Mexican Grill,Birmingham,33.42237,-86.69893,"https://locations.chipotle.com/al/birmingham/4719-highway-280?utm_source=extendednetworkandutm_medium=yextandutm_campaign=yext_listings,https://locations.chipotle.com/al/birmingham/4719-highway-280,http://www.chipotle.com,http://www.chipotle.com/"
Sol's Sandwich Shop and Deli,Birmingham,33.51327,-86.80574,"http://www.solsdeli.com/,http://www.solsdeli.com"
Mellow Mushroom,Birmingham,33.49907,-86.79597,"https://mellowmushroom.com,http://www.mellowmushroom.com/birmingham,http://www.mellowmushroom.com"
McDonald's,North Little Rock,34.7556,-92.2614,https://www.mcdonalds.com/us/en-us/location/AR/NORTH-LITTLE-ROCK/600-E-BROADWAY/4330.html?cid=RF:YXT:RoN::Clicks
Chipotle Mexican Grill,Surprise,33.6383,-112.3591,"https://locations.chipotle.com/az/surprise/13869-w-bell-rd?utm_source=extendednetwork&utm_medium=yext&utm_campaign=yext_listings,http://chipotle.com/,https://locations.chipotle.com/az/surprise/13869-w-bell-rd,http://www.chipotle.com/"
Fisherman's Cove,Nashville,33.97157,-93.82483,http://www.facebook.com/fishermanscovenashville
Subway,Crown Point,41.4205,-87.2392,"http://www.subway.com,http://subway.com"
Burger King,Chicago,41.9307,-87.6876,https://locations.bk.com/il/chicago/2701-n-western-ave.html
Sonic Drive-In,Winfield,33.93823,-87.84115,https://locations.sonicdrivein.com/al/winfield/2581-u-s--hwy-43.html
Burger King,Gainesville,29.6179,-82.3836,"https://locations.bk.com/fl/gainesville/3905-sw-40th-boulevard.html,http://www.bk.com/"
Domino's Pizza,Warrior,33.81765,-86.80712,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
Burger King,Sheridan,34.28972,-92.39836,https://locations.bk.com/ar/sheridan/1404-south-rock.html
Taco Bell,Van Nuys,34.2208,-118.4719,"https://locations.tacobell.com/ca/van-nuys/8256-orion-ave.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=029284&utm_content=website,https://locations.tacobell.com/ca/van-nuys/8256-orion-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029284andutm_content=website,http://www.tacobell.com"
Pizza Pro,Trumann,35.67839,-90.54888,http://www.pizzapro.com
Whataburger,Goodyear,33.4854,-112.3655,https://locations.whataburger.com/az/goodyear/14251-west-indian-school-bypass.html/?utm_source=yextpages&utm_medium=locallistings&utm_campaign=yextpages
Taco Bell,Alpharetta,34.0498,-84.2869,https://locations.tacobell.com/ga/alpharetta/10850-haynes-bridge-road.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=033416&utm_content=website
Jimmy John's,Clinton Township,42.6121,-82.9726,http://www.jimmyjohns.com
Dairy Queen,New Lebanon,39.7459,-84.4101,http://www.dairyqueen.com
Subway,Gary,41.591,-87.3374,"http://www.subway.com,http://subway.com/,http://www.subway.com/"
Subway,Mishawaka,41.6932,-86.1873,http://www.subway.com/
Pizza Hut,Covington,39.0948,-84.5454,"http://www.pizzahut.com,http://pizzahut.com/locations/kentucky/ludlow/029911"
Pizza Hut,Indianapolis,39.7013,-86.082,"https://locations.pizzahut.com/in/indianapolis/4533-s-emerson-ave,http://www.pizzahut.com/locations/indiana/indianapolis/022115"
Panda Express,Hillside,41.868,-87.8829,http://www.pandaexpress.com/
Hardee's,Crawfordville,30.1784,-84.3756,"https://www.hardees.com/?utm_source=Yext&utm_medium=Visit%20Website&utm_campaign=Homepage,http://www.hardees.com/,http://hardees.com/"
KFC,Gainesville,29.6858,-82.3397,https://www.kfc.com/store-locator?query=32609
Burger King,Tucson,32.1784,-110.9182,"http://www.bk.com/,https://locations.bk.com/az/tucson/3485-east-ajo-way.html"
McDonald's,Brinkley,34.90503,-91.1979,https://www.mcdonalds.com/us/en-us/location/AR/BRINKLEY/1406-N-MAIN-ST/35346.html?cid=RF:YXT:RoN::Clicks
Wendy's,Highland,41.5372,-87.461,https://locations.wendys.com/united-states/in/highland/9703-kennedy-avenue
Subway,Wailuku,20.8879,-156.5008,http://www.subway.com/
Subway,Chatham,39.6766,-89.7046,http://www.subway.com
Domino's Pizza,Champaign,40.1278,-88.2749,"https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepage&utm_source=locallistings&utm_medium=loclist&utm_campaign=localmaps,http://dominos.com?utm_source=Yext&utm_medium=local&utm_campaign=Yext&utm_content=Website"
Burger King,Dardanelle,35.22098,-93.16306,https://locations.bk.com/ar/dardanelle/607-union-st.html
Taco Bell,Crossett,33.13505,-91.96268,https://locations.tacobell.com/ar/crossett/109-west-first-avenue.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029599andutm_content=website
Taco Bell,Los Angeles,34.0883,-118.3088,https://locations.tacobell.com/ca/los-angeles/990-n--western-ave-.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=028713&utm_content=website
Subway,Calico Rock,36.12925,-92.13006,http://www.subway.com
KFC,Little Rock,34.7543,-92.4044,https://www.kfc.com/store-locator?query=72211
Subway,Tucson,32.3088,-110.8469,http://www.subway.com/
Subway,Memphis,35.14919,-90.04758,http://www.subway.com
Sonic Drive-In,Stamps,33.36558,-93.4851,"https://locations.sonicdrivein.com/ar/stamps/1216-antigo-street.html,http://www.sonicdrivein.com/,http://www.sonicdrivein.com"
Chick-Fil-A,Hot Springs National Park,34.4484,-93.07936,http://www.chick-fil-a.com
Arby's,Clarksville,35.45033,-93.46147,http://www.arbys.com
Subway,Van Buren,35.46017,-94.35731,http://www.subway.com
McDonald's,Blue Island,41.6768,-87.681,https://www.mcdonalds.com/us/en-us/location/IL/BLUE-ISLAND/11920-S-WESTERN-AVE/415.html?cid=RF:YXT:RoN::Clicks
Taco Bell,Sherwood,34.83044,-92.18308,"https://locations.tacobell.com/ar/sherwood/8350-warden-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=030893andutm_content=website,https://locations.tacobell.com/ar/sherwood/8350-warden-road.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=030893&utm_content=website"
Tonelli's Takeout,Lafayette Hill,40.0914,-75.2593,"http://www.tonellistakeout.com/,http://www.yourhometownpages.com/tonellistakeout.pdf,http://www.yourhometownpages.com/"
Popeyes Louisiana Kitchen,Jacksonville,34.881985,-92.13043,http://www.popeyes.com
